data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
No,4.45,7.72,4.17,6.67,8.89,3.41,1.33,0.93,12.2,7.95,0,10.84,0,66.67,0,9.09,13.33,0,0,2.94,10.39,0.82,5.13,0,2.38,0,0,2.74,0,0,0,1.79,4.48,4.29,25,0,13.33,10.53,0,0,0,100,0,0,7.41,9.09,7.14,0,0,33.33,0,0,0,0,0,7.41,16.67,14.29,14.29,50,0,50,100,0,11.11,0,0,100,0,12.5,0,0,0,0,0,0,0,0,0,3.03,0,11.48,7.69,0,0,1.79,0,0,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4.48,5,0,0,0,25,0,0,0,0,0,0,4.26,4.95,4.2,5.19,4.26,6.82,6.29,4.19,5.03,2.88,2.76,5.01,6.07,3.74,4.15,4.32,5.33,NA,NA,NA
Don't know,0.17,0,0,0,0,1.14,0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0.26,0.12,0.35,0.19,0,0,0.2,0.24,0,0,0.29,0,0.31,0.17,0.2,0,NA,NA,NA
Why are men unable to move freely?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrimination / harrassment from host community,6,0,17,0,0,0,0,50,0,14,NA,0,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,50,NA,NA,NA,100,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,25,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,6,7,7,0,11,5,7,0,0,12,7,17,0,5,12,NA,NA,NA
Socio-cultural barriers between settlement members and host community,2,0,8,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,100,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,3,0,3,0,2,0,0,2,2,0,0,0,0,8,0,2,0,NA,NA,NA
Government restrictions related to coronavirus,33,29,58,0,50,0,0,0,20,86,NA,33,NA,0,NA,0,0,NA,NA,100,50,0,50,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,50,NA,NA,NA,0,NA,NA,100,100,100,NA,NA,0,NA,NA,NA,NA,NA,0,100,0,50,100,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,57,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,34,32,33,33,33,33,33,33,29,56,50,29,40,25,33,30,50,NA,NA,NA
Lack of Documentation,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Waterpoints are unsafe,80,86,58,100,75,100,100,100,100,57,NA,78,NA,100,NA,100,100,NA,NA,0,75,100,75,NA,100,NA,NA,100,NA,NA,NA,0,100,100,100,NA,100,100,NA,NA,NA,100,NA,NA,25,100,100,NA,NA,100,NA,NA,NA,NA,NA,100,0,100,50,100,NA,100,100,NA,100,NA,NA,100,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,71,100,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,75,89,81,80,80,83,78,81,86,56,75,76,87,83,75,84,62,NA,NA,NA
Debt Related Concerns,6,10,0,33,0,0,0,0,20,0,NA,0,NA,50,NA,0,0,NA,NA,0,0,0,25,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,50,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,100,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,6,5,8,0,4,17,11,5,7,0,0,0,7,8,4,7,0,NA,NA,NA
Other,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,NA,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Are women and girls able to move freely in and out of the settlement?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,86.84,79.78,93.75,84.44,81.11,80.68,76,99.53,85.37,90.91,90.91,85.54,100,33.33,97.67,72.73,73.33,95,66.67,97.06,77.92,77.87,62.82,100,85.71,100,100,100,94.44,75,80,92.86,94.03,88.57,75,100,86.67,84.21,100,100,100,0,100,100,90.74,90.91,92.86,100,100,66.67,100,83.33,100,100,100,88.89,83.33,71.43,85.71,50,100,50,0,97.67,66.67,100,100,0,50,75,100,100,100,100,100,90.91,100,93.75,12.5,96.97,100,78.69,76.92,50,100,85.71,75,80,27.27,69.23,100,88.89,100,62.82,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,80,87.5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,77.78,100,100,66.67,100,0,100,100,100,100,0,0,100,100,96.88,90.48,50,100,94.03,86.67,100,100,100,75,100,100,100,100,100,100,87.48,85.68,85.78,89.97,86.94,85.23,79.02,87.92,85.75,89.74,90.34,92.04,86.23,89.41,85.66,86.13,91.33,NA,NA,NA
No,11.33,15.44,5.9,13.33,18.89,17.05,22,0,14.63,9.09,0,14.46,0,66.67,0,27.27,20,5,33.33,2.94,22.08,19.67,20.51,0,11.9,0,0,0,0,25,20,7.14,5.97,11.43,25,0,13.33,15.79,0,0,0,100,0,0,9.26,9.09,7.14,0,0,33.33,0,0,0,0,0,11.11,16.67,28.57,14.29,50,0,50,100,0,33.33,0,0,100,0,25,0,0,0,0,0,9.09,0,6.25,87.5,3.03,0,21.31,23.08,50,0,14.29,18.75,20,72.73,15.38,0,11.11,0,20.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,33.33,0,100,0,0,0,0,100,100,0,0,3.12,9.52,50,0,5.97,13.33,0,0,0,25,0,0,0,0,0,0,10.12,13.54,12.12,9,11.16,13.64,19.58,10.18,11.86,9.94,9.66,7.37,12.15,9.97,11.74,11.86,8,NA,NA,NA
Don't know,1.83,4.78,0.35,2.22,0,2.27,2,0.47,0,0,9.09,0,0,0,2.33,0,6.67,0,0,0,0,2.46,16.67,0,2.38,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,2.33,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,0,15.38,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0.78,2.1,1.04,1.89,1.14,1.4,1.9,2.4,0.32,0,0.59,1.62,0.62,2.59,2.01,0.67,NA,NA,NA
Why are women unable to move freely?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Discrimination / harrassment from host community,22,2,18,0,35,13,48,NA,17,25,NA,0,NA,0,NA,0,0,0,88,0,35,38,0,NA,20,NA,NA,NA,NA,25,0,25,0,0,0,NA,50,0,NA,NA,NA,0,NA,NA,40,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,100,86,0,NA,46,0,0,NA,38,0,0,75,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,100,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21,19,22,19,20,33,36,18,18,32,43,12,13,22,25,22,17,NA,NA,NA
Socio-cultural barriers between settlement members and host community,33,7,24,0,29,67,64,NA,0,0,NA,17,NA,0,NA,0,33,0,100,0,29,54,6,NA,80,NA,NA,NA,NA,50,100,100,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,17,0,50,0,0,NA,0,0,NA,0,NA,NA,0,NA,50,NA,NA,NA,NA,NA,0,NA,100,100,0,NA,31,33,0,NA,75,0,0,88,0,NA,0,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,0,NA,0,NA,NA,NA,NA,100,100,NA,NA,100,100,100,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,24,44,34,31,33,33,46,29,31,39,57,12,23,44,32,36,0,NA,NA,NA
Government restrictions related to coronavirus,42,29,47,0,59,27,64,NA,33,88,NA,17,NA,0,NA,0,0,0,88,100,59,58,50,NA,0,NA,NA,NA,NA,100,0,0,0,0,0,NA,0,67,NA,NA,NA,0,NA,NA,100,100,100,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,50,100,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,100,86,100,NA,62,33,100,NA,50,100,100,25,100,NA,100,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,100,NA,100,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,45,37,45,31,42,50,50,40,38,55,46,32,40,31,49,42,50,NA,NA,NA
Lack of Documentation,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
Waterpoints are unsafe,55,88,47,100,24,47,27,NA,100,50,NA,83,NA,100,NA,100,100,100,12,0,24,29,81,NA,40,NA,NA,NA,NA,25,33,0,100,100,100,NA,100,100,NA,NA,NA,100,NA,NA,40,0,100,NA,NA,100,NA,NA,NA,NA,NA,83,100,100,50,100,NA,100,100,NA,100,NA,NA,100,NA,100,NA,NA,NA,NA,NA,100,NA,0,14,0,NA,15,67,0,NA,38,0,0,38,0,NA,100,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,NA,0,NA,NA,NA,NA,0,100,NA,NA,0,0,0,NA,100,100,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,51,60,55,54,57,33,57,54,58,45,46,64,77,59,43,53,67,NA,NA,NA
Debt Related Concerns,2,0,0,0,0,13,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,67,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,100,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,2,0,8,2,0,0,2,2,0,4,0,3,3,0,2,0,NA,NA,NA
Other,0,0,0,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,0,0,0,NA,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
How do you describe the social relationship between your settlement and the host community in your area?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,77.33,82.72,86.46,2.22,81.11,73.86,68.67,79.91,87.8,72.73,9.09,81.93,100,0,97.67,0,86.67,0,58.33,100,77.92,69.67,70.51,73.44,76.19,89.83,100,83.56,55.56,43.75,86.67,91.07,86.57,94.29,100,100,100,84.21,100,100,0,0,100,100,70.37,63.64,85.71,33.33,100,100,100,0,33.33,0,0,79.63,100,85.71,85.71,50,100,0,0,97.67,0,0,0,100,100,75,100,100,100,100,0,0,0,87.5,0,100,100,81.97,69.23,50,0,69.64,56.25,90,45.45,69.23,100,77.78,100,70.51,66.67,90.91,100,100,66.67,71.43,75,75,50,100,100,25,100,33.33,0,33.33,76,75,60,100,100,100,86.21,93.33,100,75,50,100,68.75,100,100,100,100,100,100,100,100,100,100,66.67,0,100,33.33,80,100,0,55.56,100,0,0,0,100,100,83.33,100,100,50,100,100,100,90.62,100,50,0,86.57,93.33,100,100,100,100,100,100,100,0,100,0,80.16,72.66,75.29,83.39,78.15,67.05,67.13,78.74,80.96,67.63,75.52,85.55,78.95,76.64,77.03,77.09,78.67,NA,NA,NA
Okay (Situation is good but can change at any time - unstable),16.65,16.18,10.42,86.67,12.22,22.73,16.67,10.28,12.2,23.86,90.91,15.66,0,33.33,2.33,100,13.33,85,4.17,0,14.29,19.67,29.49,18.75,23.81,1.69,0,5.48,27.78,37.5,13.33,1.79,10.45,4.29,0,0,0,15.79,0,0,100,100,0,0,25.93,27.27,14.29,66.67,0,0,0,100,66.67,100,100,16.67,0,14.29,14.29,50,0,0,100,2.33,100,100,100,0,0,25,0,0,0,0,100,81.82,100,0,12.5,0,0,9.84,23.08,50,100,14.29,43.75,10,27.27,23.08,0,22.22,0,29.49,33.33,0,0,0,0,28.57,25,25,25,0,0,50,0,66.67,0,66.67,24,25,40,0,0,0,3.45,0,0,12.5,16.67,0,6.25,0,0,0,0,0,0,0,0,0,0,33.33,50,0,66.67,0,0,100,22.22,0,0,100,100,0,0,16.67,0,0,50,0,0,0,3.12,0,0,0,10.45,5,0,0,0,0,0,0,0,0,0,0,14.78,20.57,18.07,12.46,15.99,25,25.17,15.47,13.77,24.36,14.48,10.62,15.38,14.95,18.13,17.89,8.67,NA,NA,NA
Prefer not to answer,4.71,0.74,1.04,8.89,3.33,3.41,14.67,7.94,0,3.41,0,2.41,0,33.33,0,0,0,15,37.5,0,3.9,10.66,0,6.25,0,5.08,0,10.96,11.11,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,9.09,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,12.5,87.5,0,0,3.28,7.69,0,0,16.07,0,0,27.27,7.69,0,0,0,0,0,9.09,0,0,33.33,0,0,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,3.45,6.67,0,12.5,33.33,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,22.22,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,3.86,5.47,5.36,2.77,4.64,5.68,5.59,4.59,4.19,6.09,8.97,2.65,5.26,6.23,3.63,3.72,11.33,NA,NA,NA
Negative,1.31,0.37,2.08,2.22,3.33,0,0,1.87,0,0,0,0,0,33.33,0,0,0,0,0,0,3.9,0,0,1.56,0,3.39,0,0,5.56,0,0,7.14,2.99,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0,50,100,2.99,1.67,0,0,0,0,0,0,0,0,0,0,1.2,1.3,1.28,1.38,1.23,2.27,2.1,1.2,1.08,1.92,1.03,1.18,0.4,2.18,1.21,1.31,1.33,NA,NA,NA
Has the Government or local authorities made any efforts to relocate the households in this settlement or forced residents to leave in the last 2 years?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
